지점,지점명,일시,합계 일조시간(hr),평균 전운량(1/10)
108,서울,2022-05-02,10.4,2
108,서울,2022-05-03,12.5,1
108,서울,2022-05-04,12.6,0
108,서울,2022-05-05,12.7,.5
108,서울,2022-05-06,10.3,5.3
108,서울,2022-05-07,6.8,8.6
108,서울,2022-05-08,0,9.1
108,서울,2022-05-09,12.8,3.1
108,서울,2022-05-10,9.5,7.3
108,서울,2022-05-11,9.8,6.9
108,서울,2022-05-12,11.4,3.9
108,서울,2022-05-13,4.8,5.9
108,서울,2022-05-14,10.8,4.4
108,서울,2022-05-15,12.9,2
108,서울,2022-05-16,13.1,.5
108,서울,2022-05-17,12.8,.3
108,서울,2022-05-18,6.4,4.3
108,서울,2022-05-19,7.8,4.9
108,서울,2022-05-20,10.8,5
108,서울,2022-05-21,9.3,3.6
108,서울,2022-05-22,9,3.8
108,서울,2022-05-23,10.4,3
108,서울,2022-05-24,12.3,3.4
108,서울,2022-05-25,8.1,6.5
108,서울,2022-05-26,11.6,4.5
108,서울,2022-05-27,11.8,2.4
108,서울,2022-05-28,12.4,2.1
108,서울,2022-05-29,7,6
108,서울,2022-05-30,.2,7.9
108,서울,2022-05-31,12,1.4
108,서울,2022-06-01,13.5,.6
